Location,Biome,Type,Species,Soil,Habit,Stage,Method,Author,Year,Site,Age,MAT,MAP,Lat,NPP,ANPP,BNPP,NPPFR,Litter,TotDet,Rh,Rs,Ra,RC,Note
Alaska,Arctic,Tundra,Mix,W,Decid,Mature,Extr,Billings,1978,Barrow,.,-12.6,132,71,91,47,44,.,.,.,13,53,40,75%,Using Chapin NPP data
Alaska,Arctic,Tundra,Mix,W,Decid,Mature,Sub,Chapin,1980,Barrow,.,-12.6,132,71,91,47,44,.,.,.,22,62,40,65%,
Missouri,Wtemp,Prairie,Mix,D,Decid,Aggrad,Isot,Buyanovsky,1987,Tucker,1,12.5,1000,39,450,215,235,235,193,428,374,516,142,28%,Rs estimated from graph
Missouri,Wtemp,Prairie,.,D,Decid,Mature,Extr,Herman,1977,Herman1,1,12.16666667,1000,39,.,.,.,.,.,.,299,452,153,34%,
Missouri,Wtemp,Prairie,Mix,D,Decid,Aggrad,Sub,Kucera,1971,Herman1,1,12.5,1000,39,.,.,.,.,.,.,271,452,181,40%,
California,Wtemp,Prairie,Various,D,Everg,Mature,Isot,Hungate,1997,Sandstone,1,14,511,37,.,.,.,.,.,145,144,323,179,55%,grassland; methodology correct?
Sweden,Boreal,Forest,Pinus sylvestris,D,Everg,Mature,Comp,Hogberg,2001,Hogberg1,50,5.5,.,64,.,.,.,.,.,.,127,275,149,54%,
Sweden,Boreal,Forest,Mixed boreal,D,Everg,Mature,Extr,Widén,2001,N,34,5.5,527,60,.,.,.,.,.,.,69,98,29,29%,
Sweden,Boreal,Forest,Mixed boreal,D,Everg,Mature,Extr,Widén,2001,SW,50,5.5,527,60,.,.,.,.,.,.,100,149,49,33%,
Sask,Boreal,Forest,Picea mariana,W,Everg,Mature,Excl,Kari,2003,BSSP,118,1.5,405,54,138,48,90,86,56,142,265,319,54,17%,
Sask,Boreal,Forest,Pop tremuloides,D,Decid,Mature,Sub,Russell,1998,SSA-OA,70,1.5,405,54,378,332,46,30,124,154,362,905,543,60%,
Sask,Boreal,Forest,Pop tremuloides,D,Decid,Mature,Extr,Ryan,1997,SSA-OA,67,1.5,405,54,378,332,46,30,124,154,591,905,314,35%,Russell's Rs
Sask,Boreal,Forest,Pinus banksiana,D,Everg,Mature,Extr,Ryan,1997,SSA-OJP,65,1.5,405,54,230,114,116,105,52,156,187,338,151,45%,Striegl's Rs
Sask,Boreal,Forest,Picea mariana,D,Everg,Mature,Excl,Kari,2003,SSA-OBS,118,1.5,405,54,400,155,245,118,56,174,440,564,124,22%,
Sask,Boreal,Forest,Picea mariana,D,Everg,Mature,Sub,Malhi,1999,SSA-OBS,116,1.5,405,54,140,110,30,118,56,174,449,592,143,24%,
Sask,Boreal,Forest,Picea mariana,D,Everg,Mature,Extr,Ryan,1997,SSA-OBS,115,1.5,405,54,400,155,245,118,56,174,372,564,192,34%,Using Kari's Rs
Manitoba,Boreal,Forest,Picea mariana,W,Everg,Aggrad,Excl,Us,2003,zW1998,3,0.8,450,55,74,68,6,4,0,4,205,206,1,0%,
Manitoba,Boreal,Forest,Picea mariana,D,Everg,Aggrad,Excl,Us,2003,zD1998,3,0.8,450,55,111,106,5,5,0,5,208,212,4,2%,
Manitoba,Boreal,Forest,Picea mariana,D,Decid,Aggrad,Excl,Us,2003,zD1995,6,0.8,450,56,189,184,5,20,2,22,128,181,53,29%,
Manitoba,Boreal,Forest,Mixed boreal,W,Everg,Aggrad,Excl,Us,2003,zW1964,37,0.8,450,55,429,380,49,20,5,25,425,491,67,14%,
Manitoba,Boreal,Forest,Picea mariana,D,Everg,Mature,Extr,Dioumaeva,2002,W1870,151,0.8,450,55,262,216,46,17,13,30,229,327,98,30%,
Manitoba,Boreal,Forest,Picea mariana,W,Everg,Mature,Excl,Us,2003,zW1870,151,0.8,450,55,262,216,46,17,13,30,306,327,20,6%,
Manitoba,Boreal,Forest,Mixed boreal,D,Decid,Aggrad,Excl,Us,2003,zD1989,12,0.8,450,55,367,354,12,13,18,30,240,489,249,51%,
Manitoba,Boreal,Forest,Mixed boreal,W,Mix,Aggrad,Excl,Us,2003,zW1981,20,0.8,450,55,584,556,28,27,6,33,375,550,175,32%,
Manitoba,Boreal,Forest,Picea mariana,W,Decid,Aggrad,Excl,Us,2003,zW1995,6,0.8,450,56,490,456,34,35,1,36,288,354,66,19%,
Manitoba,Boreal,Forest,Mixed boreal,W,Decid,Aggrad,Excl,Us,2003,zW1989,12,0.8,450,55,261,223,38,31,5,36,231,428,197,46%,
Manitoba,Boreal,Forest,Mixed boreal,D,Mix,Aggrad,Excl,Us,2003,zD1981,20,0.8,450,55,403,363,40,23,31,54,226,371,144,39%,
Manitoba,Boreal,Forest,Picea mariana,W,Everg,Mature,Excl,Us,2003,zW1930,71,0.8,450,55,326,233,93,42,20,62,285,311,26,8%,
Manitoba,Boreal,Forest,Mixed boreal,D,Everg,Aggrad,Excl,Us,2003,zD1964,37,0.8,450,55,432,377,55,36,31,67,365,458,93,20%,
Manitoba,Boreal,Forest,Picea mariana,D,Everg,Mature,Excl,Us,2003,NSA-OBS,151,0.8,450,55,211,147,64,75,34,108,293,330,38,11%,
